Edad,Altura,Peso,Sexo
20,178,82,Hombre
18,168,87,Hombre
19,194,94,Hombre
19,159,62,Mujer
21,177,78,Hombre
18,180,53,Hombre
20,180,62,Hombre
18,168,68,Hombre
19,190,82,Hombre
18,187,79,Mujer
24,181,100,Hombre
18,163,56,Mujer
21,200,90,Hombre
22,180,79,Hombre
18,185,70,Hombre
18,173,60,Hombre
18,172,68,Hombre
19,170,67,Hombre
19,185,70,Hombre
24,180,74,Hombre
18,193,94,Hombre
24,189,75,Hombre
18,170,68,Hombre
18,172,70,Hombre
18,174,58,Hombre
18,162,53,Mujer
18,169,70,Hombre
18,160,53,Mujer
22,179,110,Hombre
32,182,90,Hombre
21,180,87,Hombre
18,172,72,Hombre
18,178,70,Mujer
22,178,117,Hombre
18,174,80,Hombre
19,182,95,Hombre
18,177,81,Hombre
26,165,60,Hombre
18,183,76,Hombre
24,183,90,Hombre
26,182,70,Hombre
20,171,64,Hombre
23,173,75,Mujer
18,178,72,Hombre
19,168,54,Mujer
18,187,72,Hombre
19,168,65,Hombre
19,170,64,Hombre
18,179,71,Hombre
18,180,68,Hombre
18,174,73,Hombre
21,184,88,Hombre
18,179,70,Hombre
22,176,85,Hombre
19,172,76,Hombre
18,176,72,Mujer
21,176,74,Hombre
18,175,72,Hombre
21,168,65,Hombre
18,173,60,Hombre
19,188,75,Hombre
19,175,85,Hombre
19,185,64,Hombre
18,185,87,Hombre
19,182,82,Hombre
18,165,51,Hombre
21,195,90,Hombre
25,179,73,Hombre
19,196,83,Hombre
22,181,78,Hombre
19,171,74,Mujer
28,173,61,Hombre
19,170,65,Hombre
18,191,75,Hombre
18,167,67,Hombre
19,180,78,Hombre
18,180,65,Hombre
19,183,71,Hombre
19,175,67,Mujer
23,165,60,Hombre
24,175,85,Hombre
26,182,72,Hombre
22,168,70,Hombre
18,180,70,Hombre
19,177,74,Hombre
20,180,73,Hombre
22,185,87,Hombre
24,172,72,Hombre
20,180,82,Hombre
23,167,60,Hombre
19,167,70,Hombre
24,170,70,Hombre
23,182,87,Hombre
51,180,83,Hombre
18,162,57,Mujer
23,182,120,Hombre
20,180,73,Hombre
19,167,80,Hombre
28,180,105,Hombre
